barcode	plateRow	plateColumn	numcells	Nuclei DAPI - Intensity Nucleus EGFP Mean - Median	Nuclei DAPI - Intensity Nucleus EGFP StdDev - StdDev	Nuclei DAPI - Intensity Nucleus EGFP Median - Median	Nuclei DAPI - Nucleus Area [µm²] - Sum	Nuclei DAPI - Nucleus Roundness - Sum	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev	Nuclei DAPI - Nucleus DAPI Haralick Homogeneity 1 px - Sum	Nuclei/Median_GFP	Number of Analyzed Fields	concenctration	treatment	hitscore	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev.bscore	Nuclei/Median_GFP.bscore
001AL100205B-KI_1_1	4	11	8062	2597.62617845	207.8450366	2620	2018453.47981	7563.62698263	0.00453214717101	3939.35436787	3.07709923664	9	1.1 uM	library	33.0178427698793	0.00460229421251374	-0.681761081683238
001AL100205B-KI_1_1	4	12	8203	2324.08296943	198.994444224	2345	2036022.95464	7727.78640981	0.00469686636262	3971.3976163	3.49808102345	9	0.37 uM	library	-1.72567122490658	0.0201933704398897	0.0243017932813859
001AL100205B-KI_1_1	4	13	8776	2423.13351312	192.587336092	2441	2302323.31692	8261.69878894	0.00429247706049	4417.16618159	3.59524784924	9	1.1 uM	library	5.82733607151325	-0.0147440987423593	-0.271449291512377
001AL100205B-KI_1_1	4	14	8417	2482.63291139	193.482637529	2504	2074127.30808	7927.40791393	0.00465736818738	4105.56121775	3.36142172524	9	0.37 uM	library	17.3238216855900	0.00240478544441392	-0.0679150967078501
001AL100205B-KI_1_1	4	15	8008	2338.5244124	201.792841721	2356	1987666.94582	7598.17409734	0.00467026748683	3814.6218571	3.39898132428	9	1.1 uM	library	2.78823730320554	-4.95635445460815e-05	0.493235859307736
001AL100205B-KI_1_1	4	16	9696	2458.5672715	191.074075684	2478	2226737.08835	9191.31645669	0.00457963995768	4573.6602546	3.91283292978	9	0.37 uM	library	20.2350929557565	0.00620075941990912	1.28461068753925
001AL100205B-KI_1_1	4	17	7780	2482.99442722	225.78505782	2506	1902990.1664	7326.42106751	0.00504867939533	3750.54247209	3.1045490822	9	1.1 uM	library	1.57547391459064	0.0494508068680196	-0.134361473219191
001AL100205B-KI_1_1	4	18	9390	2530.40847583	190.336862373	2554	2221558.97643	8861.22468578	0.00450570403034	4519.03238589	3.67658574785	9	0.37 uM	library	14.7464997543175	-0.0111427987989611	0.987487338411611
001AL100205B-KI_1_1	4	19	454	635.856207234	136.846652664	623	105948.569747	420.770257756	0.0154025000105	150.202530141	0.728731942215	9	1.1 uM	library	-193.709790683218	0.80591319012916	-3.62195059972966
001AL100205B-KI_1_1	4	20	1507	1800.54103343	323.32920792	1815	440256.906496	1398.55126014	0.00962723971672	676.114785807	0.830303030303	9	0.37 uM	library	-60.8027473346021	0.398451463520741	-3.68548364905395
001AL100205B-KI_1_1	4	21	7959	2343.91515152	212.833792336	2361	2246481.78452	7455.1639227	0.00398599907863	4158.47419098	3.3710292249	9	1.1 uM	library	-4.62895327643923	-0.0252627410103016	0.802836729290035
001AL100205B-KI_1_1	4	22	8199	2147.05949008	209.572961993	2151	2886144.83161	7551.59649217	0.0032419046195	4764.81791174	3.81171548117	9	0.37 uM	library	-25.8323395306155	-0.0407290100457201	0.932725895391139
001AL100205B-KI_1_1	5	3	8181	1223.57053292	118.690648847	1231	2110808.14933	7675.97084402	0.00484185179197	4015.90499451	6.64581640942	9	250 nM	18858	2.35202596579860	0.00831529680329485	-0.658916926629284
001AL100205B-KI_1_1	5	4	9993	1146.14285714	84.9871190403	1155	2372824.1641	9397.82504928	0.00614926880023	4812.77644118	8.65194805195	9	5 uM	Control X	-8.42862565868725	0.123262884591290	2.4168549197361
001AL100205B-KI_1_1	5	5	8284	1004.97233291	106.889243265	1010	2183508.88021	7776.2386804	0.00427378321613	4117.49532763	8.20198019802	9	10 uM	library	-0.375493275789858	-0.0117552780567809	1.67332379998664
001AL100205B-KI_1_1	5	6	7975	1001.57377049	95.9322689743	1007	2085764.98885	7481.31642381	0.00434190814373	3927.08088369	7.91956305859	9	3.3 uM	library	-14.6905752238807	0.00575555221576513	1.31785686800856
001AL100205B-KI_1_1	5	7	8168	1042.14198477	109.187620911	1045	2167658.86606	7733.01679796	0.00419767941974	4084.53119043	7.81626794258	9	10 uM	library	-6.40096196942201	-0.0326231247221831	1.73439071007260
001AL100205B-KI_1_1	5	8	8362	989.481324934	93.1073210492	993	2367854.2026	7846.12015214	0.00367625872419	4383.52953853	8.42094662638	9	3.3 uM	library	-17.4069095593818	-0.0480291913217729	3.14057182621432
001AL100205B-KI_1_1	5	9	8867	1496.41552511	137.686795404	1508	2167099.52343	8338.55488223	0.00417795270063	4343.66347332	5.8799734748	9	10 uM	library	34.4399236867005	-0.0254124907620507	-0.59777925167381
001AL100205B-KI_1_1	5	10	8298	1206.5144942	114.715734771	1213	2202260.17597	7790.65263831	0.00394567143164	4239.34080199	6.84089035449	9	3.3 uM	library	-0.287611870817764	-0.0219807532256826	0.643678827150113
001AL100205B-KI_1_1	5	11	8519	1249.46285714	108.08943161	1256	2133711.60228	8000.89150397	0.00412925953149	4262.65152705	6.7826433121	9	10 uM	library	0.524092742379036	-0.0133963178717782	1.03701529061769
001AL100205B-KI_1_1	5	12	8476	1525.28349421	155.469468761	1536	2140776.87902	8003.17624889	0.00427504055934	4135.7334538	5.51822916667	9	3.3 uM	library	22.5359879222986	0.000739073927872249	-1.06785039926709
001AL100205B-KI_1_1	5	13	7952	1151.09043418	125.49653682	1158	2081352.397	7483.64774174	0.00440590529576	3952.39851711	6.86701208981	9	10 uM	library	-18.3831920764354	0.00694397623784103	0.72386257881399
001AL100205B-KI_1_1	5	14	8201	1263.63934426	109.146199834	1271	2082335.93245	7727.20010039	0.00451295929996	3983.7650161	6.45239968529	9	3.3 uM	library	-1.77360653670954	0.00427417635651538	0.625878708737973
001AL100205B-KI_1_1	5	15	351	364.008264463	98.2346313271	363	66118.8366623	326.581983501	0.00778473273337	124.542332158	0.96694214876	9	10 uM	library	-94.0283097889609	0.252313612765192	-8.02434098919892
001AL100205B-KI_1_1	5	16	6207	1213.64092664	138.562997785	1223	1794370.16836	5834.63539367	0.00428060395157	3066.21609148	5.07522485691	9	3.3 uM	library	-1.11209923382869	-0.00381528331581231	-1.23812016214412
001AL100205B-KI_1_1	5	17	9171	1472.05150215	135.416037913	1484	2228218.80375	8644.89001099	0.00425336887696	4411.65132632	6.17991913747	9	 	no inf	4.05532737853047	0.00128855901288960	0.533401234996416
001AL100205B-KI_1_1	5	18	9014	1520.59150778	122.813392977	1535	2204614.93939	8506.8046117	0.00497277143306	4324.94121336	5.87231270358	9	 	no inf	17.5331392137962	0.0377277969163302	0.188168117644878
001AL100205B-KI_1_1	5	19	580	917.307994203	390.427620422	902	98202.6115007	565.538810348	0.00553938245443	192.039808606	0.643015521064	9	10 uM	library	-58.1870771538872	0.0607527715074022	-8.22629523588233
001AL100205B-KI_1_1	5	20	498	583.685653236	366.90423354	581	84675.7929235	484.355113944	0.00636734646109	165.292799146	0.857142857143	9	3.3 uM	library	-80.0024375554146	0.160848742083484	-8.10210528992819
001AL100205B-KI_1_1	5	21	8384	1536.12169739	144.130681282	1543	2336662.21919	7876.53399265	0.00373778601188	4342.6843405	5.43357096565	9	10 uM	library	18.7123478841491	-0.0313722718827216	-0.218610786698891
001AL100205B-KI_1_1	5	22	9114	1604.76980929	153.808300274	1609	3176927.03875	8401.93549091	0.00357724402581	5243.68240299	5.66438781852	9	3.3 uM	library	25.7332732195560	-0.00198370395721503	-0.438744953169209
001AL100205B-KI_1_1	6	3	9348	1258.12507653	97.9648720873	1268	2279549.09481	8789.02131073	0.00512288378808	4515.18127605	7.37223974763	9	250 nM	18858	3.73256294572387	0.0176567338554614	-0.189594888419588
001AL100205B-KI_1_1	6	4	9958	1224.27525376	100.056310487	1234	2400897.83702	9381.01667057	0.00509682040943	4852.32545532	8.06969205835	9	5 uM	Control X	-2.75308474121671	0.0301061777631045	0.703541978446555
001AL100205B-KI_1_1	6	5	8553	1070.56621005	96.9970231617	1078	2207240.00242	8044.85788599	0.00514662751818	4162.79690857	7.93413729128	9	1.1 uM	library	4.17516565803787	0.0430758890880528	0.484393711480316
001AL100205B-KI_1_1	6	6	8275	1074.62467866	100.630262371	1080	2144217.77336	7771.72432064	0.00407246379621	4105.09011087	7.66203703704	9	0.37 uM	library	-9.62860629748803	-0.0272154466898730	0.146133435057824
001AL100205B-KI_1_1	6	7	9685	1264.83957219	104.759932045	1276	2313037.63844	9124.7997427	0.00495638982493	4627.03548534	7.59012539185	9	1.1 uM	library	14.8184027220219	0.0134351255527671	0.615009099541482
001AL100205B-KI_1_1	6	8	9796	1470.04606961	145.578255671	1479	2392967.40422	9209.13685619	0.00451509422765	4751.39474941	6.62339418526	9	0.37 uM	library	29.8892647528727	0.00418788508329885	-0.599630722286829
001AL100205B-KI_1_1	6	9	7732	1217.28076196	127.280383771	1227	1992534.31184	7292.93457855	0.00459213961379	3710.22449322	6.30154849226	9	1.1 uM	library	3.30114513949722	-0.00583608364197524	-0.636887806152006
